Name  ,Metric,Value
Jamal Crawford ,STL,0.9
Yao Ming ,STL,0.4
Richard Jefferson ,STL,0.8
Jason Terry ,STL,1.3
Deron Williams ,STL,1.1
Tim Duncan ,STL,0.5
Monta Ellis ,STL,1.6
Rudy Gay ,STL,1.2
Pau Gasol ,STL,0.6
Andre Iguodala ,STL,1.6
Corey Maggette ,STL,0.9
O.J. Mayo ,STL,1.1
John Salmons ,STL,1.1
Richard Hamilton ,STL,0.6
Ray Allen ,STL,0.9
LaMarcus Aldridge ,STL,1.0
Josh Howard ,STL,1.1
Maurice Williams ,STL,0.9
Shaquille O'neal ,STL,0.7
Rashard Lewis ,STL,1.0
Chauncey Billups ,STL,1.2
Allen Iverson ,STL,1.5
Nate Robinson ,STL,1.3
Dwyane Wade ,BLK,1.3
LeBron James ,BLK,1.1
Kobe Bryant ,BLK,0.5
Dirk Nowitzki ,BLK,0.8
Danny Granger ,BLK,1.4
Kevin Durant ,BLK,0.7
Kevin Martin ,BLK,0.2
Al Jefferson ,BLK,1.7
Chris Paul ,BLK,0.1
Carmelo Anthony ,BLK,0.4
Chris Bosh ,BLK,1.0
Brandon Roy ,BLK,0.3
Antawn Jamison ,BLK,0.3
Tony Parker ,BLK,0.1
Amare Stoudemire ,BLK,1.1
Joe Johnson ,BLK,0.2
Devin Harris ,BLK,0.2
Michael Redd ,BLK,0.1
David West ,BLK,0.9
Zachary Randolph ,BLK,0.3
Caron Butler ,BLK,0.3
Vince Carter ,BLK,0.5
Stephen Jackson ,BLK,0.5
Ben Gordon ,BLK,0.3
Dwight Howard ,BLK,2.9
Paul Pierce ,BLK,0.3
Al Harrington ,BLK,0.3
Jamal Crawford ,BLK,0.2
Yao Ming ,BLK,1.9
Richard Jefferson ,BLK,0.2
Jason Terry ,BLK,0.3
Deron Williams ,BLK,0.3
Tim Duncan ,BLK,1.7
Monta Ellis ,BLK,0.3
Rudy Gay ,BLK,0.7
Pau Gasol ,BLK,1.0
Andre Iguodala ,BLK,0.4
Corey Maggette ,BLK,0.2
O.J. Mayo ,BLK,0.2
John Salmons ,BLK,0.3
Richard Hamilton ,BLK,0.1
Ray Allen ,BLK,0.2
LaMarcus Aldridge ,BLK,1.0
Josh Howard ,BLK,0.6
Maurice Williams ,BLK,0.1
Shaquille O'neal ,BLK,1.4
Rashard Lewis ,BLK,0.6
Chauncey Billups ,BLK,0.2
Allen Iverson ,BLK,0.1
Nate Robinson ,BLK,0.1
Dwyane Wade ,TO,3.4
LeBron James ,TO,3.0
Kobe Bryant ,TO,2.6
Dirk Nowitzki ,TO,1.9
Danny Granger ,TO,2.5
Kevin Durant ,TO,3.0
Kevin Martin ,TO,2.9
Al Jefferson ,TO,1.8
Chris Paul ,TO,3.0
Carmelo Anthony ,TO,3.0
Chris Bosh ,TO,2.3
Brandon Roy ,TO,1.9
Antawn Jamison ,TO,1.5
Tony Parker ,TO,2.6
Amare Stoudemire ,TO,2.8
Joe Johnson ,TO,2.5
Devin Harris ,TO,3.1
Michael Redd ,TO,1.6
David West ,TO,2.1
Zachary Randolph ,TO,2.3
Caron Butler ,TO,3.1
Vince Carter ,TO,2.1
Stephen Jackson ,TO,3.9
Ben Gordon ,TO,2.4
Dwight Howard ,TO,3.0
Paul Pierce ,TO,2.8
Al Harrington ,TO,2.2
Jamal Crawford ,TO,2.3
Yao Ming ,TO,3.0
Richard Jefferson ,TO,2.0
Jason Terry ,TO,1.6
Deron Williams ,TO,3.4
Tim Duncan ,TO,2.2
Monta Ellis ,TO,2.7
Rudy Gay ,TO,2.6
Pau Gasol ,TO,1.9
Andre Iguodala ,TO,2.7
Corey Maggette ,TO,2.4
O.J. Mayo ,TO,2.8
John Salmons ,TO,2.1
Richard Hamilton ,TO,2.0
Ray Allen ,TO,1.7
LaMarcus Aldridge ,TO,1.5
Josh Howard ,TO,1.7
Maurice Williams ,TO,2.2
Shaquille O'neal ,TO,2.2
Rashard Lewis ,TO,2.0
Chauncey Billups ,TO,2.2
Allen Iverson ,TO,2.6
Nate Robinson ,TO,1.9
Dwyane Wade ,PF,2.3
LeBron James ,PF,1.7
Kobe Bryant ,PF,2.3
Dirk Nowitzki ,PF,2.2
Danny Granger ,PF,3.1
Kevin Durant ,PF,1.8
Kevin Martin ,PF,2.3
Al Jefferson ,PF,2.8
Chris Paul ,PF,2.7
Carmelo Anthony ,PF,3.0
Chris Bosh ,PF,2.5
Brandon Roy ,PF,1.6
Antawn Jamison ,PF,2.7
Tony Parker ,PF,1.5
Amare Stoudemire ,PF,3.1
Joe Johnson ,PF,2.2
Devin Harris ,PF,2.4
Michael Redd ,PF,1.4
David West ,PF,2.7
Zachary Randolph ,PF,2.7
Caron Butler ,PF,2.5
Vince Carter ,PF,2.9
Stephen Jackson ,PF,2.6
Ben Gordon ,PF,2.2
Dwight Howard ,PF,3.4
Paul Pierce ,PF,2.7
Al Harrington ,PF,3.1
Jamal Crawford ,PF,1.4
Yao Ming ,PF,3.3
Richard Jefferson ,PF,3.1
Jason Terry ,PF,1.9
Deron Williams ,PF,2.0
Tim Duncan ,PF,2.3
Monta Ellis ,PF,2.7
Rudy Gay ,PF,2.8
Pau Gasol ,PF,2.1
Andre Iguodala ,PF,1.9
Corey Maggette ,PF,3.8
O.J. Mayo ,PF,2.5
John Salmons ,PF,2.3
Richard Hamilton ,PF,2.6
Ray Allen ,PF,2.0
LaMarcus Aldridge ,PF,2.6
Josh Howard ,PF,2.6
Maurice Williams ,PF,2.7
Shaquille O'neal ,PF,3.4
Rashard Lewis ,PF,2.5
Chauncey Billups ,PF,2.0
Allen Iverson ,PF,1.5
Nate Robinson ,PF,2.8
