Name  ,Metric,Value
Zachary Randolph ,FGM,8.3
Caron Butler ,FGM,7.3
Vince Carter ,FGM,7.4
Stephen Jackson ,FGM,7.0
Ben Gordon ,FGM,7.3
Dwight Howard ,FGM,7.1
Paul Pierce ,FGM,6.7
Al Harrington ,FGM,7.3
Jamal Crawford ,FGM,6.4
Yao Ming ,FGM,7.4
Richard Jefferson ,FGM,6.5
Jason Terry ,FGM,7.3
Deron Williams ,FGM,6.8
Tim Duncan ,FGM,7.4
Monta Ellis ,FGM,7.8
Rudy Gay ,FGM,7.2
Pau Gasol ,FGM,7.3
Andre Iguodala ,FGM,6.6
Corey Maggette ,FGM,5.7
O.J. Mayo ,FGM,6.9
John Salmons ,FGM,6.5
Richard Hamilton ,FGM,7.0
Ray Allen ,FGM,6.3
LaMarcus Aldridge ,FGM,7.4
Josh Howard ,FGM,6.8
Maurice Williams ,FGM,6.5
Shaquille O'neal ,FGM,6.8
Rashard Lewis ,FGM,6.1
Chauncey Billups ,FGM,5.2
Allen Iverson ,FGM,6.1
Nate Robinson ,FGM,6.1
Dwyane Wade ,FGA,22.0
LeBron James ,FGA,19.9
Kobe Bryant ,FGA,20.9
Dirk Nowitzki ,FGA,20.0
Danny Granger ,FGA,19.1
Kevin Durant ,FGA,18.8
Kevin Martin ,FGA,15.9
Al Jefferson ,FGA,19.5
Chris Paul ,FGA,16.1
Carmelo Anthony ,FGA,18.3
Chris Bosh ,FGA,16.4
Brandon Roy ,FGA,16.9
Antawn Jamison ,FGA,17.8
Tony Parker ,FGA,17.5
Amare Stoudemire ,FGA,14.1
Joe Johnson ,FGA,18.0
Devin Harris ,FGA,15.1
Michael Redd ,FGA,16.6
David West ,FGA,17.0
Zachary Randolph ,FGA,17.5
Caron Butler ,FGA,16.2
Vince Carter ,FGA,16.8
Stephen Jackson ,FGA,16.9
Ben Gordon ,FGA,16.0
Dwight Howard ,FGA,12.4
Paul Pierce ,FGA,14.6
Al Harrington ,FGA,16.6
Jamal Crawford ,FGA,15.7
Yao Ming ,FGA,13.4
Richard Jefferson ,FGA,14.9
Jason Terry ,FGA,15.8
Deron Williams ,FGA,14.5
Tim Duncan ,FGA,14.8
Monta Ellis ,FGA,17.2
Rudy Gay ,FGA,16.0
Pau Gasol ,FGA,12.9
Andre Iguodala ,FGA,14.0
Corey Maggette ,FGA,12.4
O.J. Mayo ,FGA,15.6
John Salmons ,FGA,13.8
Richard Hamilton ,FGA,15.6
Ray Allen ,FGA,13.2
LaMarcus Aldridge ,FGA,15.3
Josh Howard ,FGA,15.1
Maurice Williams ,FGA,13.9
Shaquille O'neal ,FGA,11.2
Rashard Lewis ,FGA,13.8
Chauncey Billups ,FGA,12.4
Allen Iverson ,FGA,14.6
Nate Robinson ,FGA,13.9
Dwyane Wade ,FGP,0.491
LeBron James ,FGP,0.489
Kobe Bryant ,FGP,0.467
Dirk Nowitzki ,FGP,0.479
Danny Granger ,FGP,0.447
Kevin Durant ,FGP,0.476
Kevin Martin ,FGP,0.42
Al Jefferson ,FGP,0.497
Chris Paul ,FGP,0.503
Carmelo Anthony ,FGP,0.443
Chris Bosh ,FGP,0.487
Brandon Roy ,FGP,0.48
Antawn Jamison ,FGP,0.468
Tony Parker ,FGP,0.506
Amare Stoudemire ,FGP,0.539
Joe Johnson ,FGP,0.437
Devin Harris ,FGP,0.438
Michael Redd ,FGP,0.455
David West ,FGP,0.472
Zachary Randolph ,FGP,0.475
Caron Butler ,FGP,0.453
Vince Carter ,FGP,0.437
Stephen Jackson ,FGP,0.414
Ben Gordon ,FGP,0.455
Dwight Howard ,FGP,0.572
Paul Pierce ,FGP,0.457
Al Harrington ,FGP,0.439
Jamal Crawford ,FGP,0.41
Yao Ming ,FGP,0.548
Richard Jefferson ,FGP,0.439
Jason Terry ,FGP,0.463
Deron Williams ,FGP,0.471
Tim Duncan ,FGP,0.504
Monta Ellis ,FGP,0.451
Rudy Gay ,FGP,0.453
Pau Gasol ,FGP,0.567
Andre Iguodala ,FGP,0.473
Corey Maggette ,FGP,0.461
O.J. Mayo ,FGP,0.438
John Salmons ,FGP,0.472
Richard Hamilton ,FGP,0.447
Ray Allen ,FGP,0.48
LaMarcus Aldridge ,FGP,0.484
Josh Howard ,FGP,0.451
Maurice Williams ,FGP,0.467
Shaquille O'neal ,FGP,0.609
Rashard Lewis ,FGP,0.439
Chauncey Billups ,FGP,0.418
Allen Iverson ,FGP,0.417
Nate Robinson ,FGP,0.437
Dwyane Wade ,FTM,7.5
LeBron James ,FTM,7.3
Kobe Bryant ,FTM,5.9
Dirk Nowitzki ,FTM,6.0
Danny Granger ,FTM,6.0
Kevin Durant ,FTM,6.1
Kevin Martin ,FTM,9.0
Al Jefferson ,FTM,3.7
Chris Paul ,FTM,5.8
Carmelo Anthony ,FTM,5.6
Chris Bosh ,FTM,6.5
Brandon Roy ,FTM,5.3
Antawn Jamison ,FTM,4.2
Tony Parker ,FTM,3.9
Amare Stoudemire ,FTM,6.1
Joe Johnson ,FTM,3.8
Devin Harris ,FTM,7.2
Michael Redd ,FTM,4.0
David West ,FTM,4.8
Zachary Randolph ,FTM,3.6
Caron Butler ,FTM,5.1
Vince Carter ,FTM,4.2
Stephen Jackson ,FTM,5.0
Ben Gordon ,FTM,4.0
Dwight Howard ,FTM,6.4
Paul Pierce ,FTM,5.7
Al Harrington ,FTM,3.2
Jamal Crawford ,FTM,4.6
Yao Ming ,FTM,4.9
Richard Jefferson ,FTM,5.1
Jason Terry ,FTM,2.7
Deron Williams ,FTM,4.8
Tim Duncan ,FTM,4.5
Monta Ellis ,FTM,3.1
Rudy Gay ,FTM,3.3
Pau Gasol ,FTM,4.2
Andre Iguodala ,FTM,4.6
Corey Maggette ,FTM,6.7
O.J. Mayo ,FTM,3.0
John Salmons ,FTM,3.6
Richard Hamilton ,FTM,3.3
Ray Allen ,FTM,3.0
LaMarcus Aldridge ,FTM,3.2
Josh Howard ,FTM,3.3
Maurice Williams ,FTM,2.6
Shaquille O'neal ,FTM,4.1
Rashard Lewis ,FTM,2.8
Chauncey Billups ,FTM,5.3
Allen Iverson ,FTM,4.8
Nate Robinson ,FTM,3.4
Dwyane Wade ,FTA,9.8
LeBron James ,FTA,9.4
Kobe Bryant ,FTA,6.9
Dirk Nowitzki ,FTA,6.7
Danny Granger ,FTA,6.9
